customer_id,cluster,Churn_Flag,Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Ct_Chng_Q4_Q1,Total_Trans_Ct
48,0,0,46,3,40,4,3,3,19458.0,1435,18023.0,0.787,1217,0.8,27
49,1,0,52,1,40,5,1,1,4745.0,1227,3518.0,0.624,1140,0.6,40
50,1,0,52,3,41,6,3,2,2622.0,1549,1073.0,1.321,1878,1.143,30
51,1,1,54,1,40,2,3,1,1438.3,808,630.3,0.997,705,0.9,19
52,1,0,66,0,54,3,4,2,3171.0,2179,992.0,1.224,1946,1.923,38
53,0,0,49,2,36,4,2,0,19763.0,2517,17246.0,0.664,1414,0.25,35
54,2,1,56,2,36,1,3,3,15769.0,0,15769.0,1.041,602,0.364,15
55,2,0,49,4,36,6,4,2,3298.0,2200,1098.0,0.678,1052,0.6,32
56,1,0,49,3,36,2,2,0,2802.0,2363,439.0,0.75,1295,0.6,40
57,1,0,56,2,50,4,2,3,4458.0,1880,2578.0,1.107,1424,1.417,29
58,1,0,44,5,35,4,1,2,6273.0,978,5295.0,2.275,1359,1.083,25
59,1,0,42,2,34,4,4,3,3336.0,1753,1583.0,0.69,1168,1.25,27
60,2,0,55,3,47,4,2,3,3436.0,2016,1420.0,0.901,1097,0.833,33
61,0,1,48,2,35,2,4,4,34516.0,0,34516.0,0.763,691,0.5,15
62,2,0,39,1,33,5,3,3,5926.0,1251,4675.0,0.944,1316,1.154,28
63,0,0,44,4,32,2,4,2,23957.0,2102,21855.0,0.997,1276,0.733,26
64,0,0,53,2,44,4,2,2,14734.0,1634,13100.0,0.989,1289,0.917,23
65,0,0,51,4,38,4,1,4,34516.0,1515,33001.0,0.592,1293,0.6,32
66,2,0,57,2,52,5,3,3,6584.0,1817,4767.0,0.62,1353,0.667,35
67,2,0,44,2,20,6,3,3,2084.0,1468,616.0,1.004,1132,0.556,28
68,1,0,49,2,32,2,2,2,1687.0,1107,580.0,1.715,1670,2.4,17
69,0,0,50,2,38,6,2,2,25300.0,1330,23970.0,1.072,837,2.0,15
70,0,0,51,4,42,3,2,3,34516.0,1763,32753.0,1.266,1550,1.05,41
71,2,0,55,2,42,5,3,3,2216.0,1034,1182.0,0.758,1540,0.286,36
72,2,0,54,1,43,4,2,3,2910.0,2030,880.0,0.769,1256,0.4,21
73,0,0,42,5,37,6,2,2,22913.0,1528,21385.0,0.414,1394,0.522,35
74,0,0,44,1,35,3,3,3,24312.0,1932,22380.0,1.312,1341,1.182,24
75,2,0,53,2,36,5,3,2,5272.0,1515,3757.0,0.857,1289,0.435,33
76,1,0,44,4,36,6,4,2,7000.0,2517,4483.0,0.475,1112,1.875,23
77,1,0,37,3,29,4,4,2,7038.0,1801,5237.0,0.751,2339,0.966,57
78,2,0,49,3,30,6,1,2,2536.0,1823,713.0,0.703,1468,0.353,23
79,0,0,47,2,38,6,3,2,28904.0,1899,27005.0,0.85,1334,0.4,35
80,1,0,47,3,37,4,4,0,8567.0,1695,6872.0,1.242,1457,1.412,41
81,0,0,44,1,36,6,2,2,34516.0,1533,32983.0,0.924,1603,0.526,29
82,2,1,55,4,45,2,4,3,2158.0,0,2158.0,0.585,615,0.714,12
83,2,0,59,1,52,2,3,3,10133.0,1417,8716.0,0.383,1068,0.818,20
84,0,0,53,1,35,5,4,2,34516.0,1219,33297.0,1.129,1590,2.0,27
85,1,0,52,2,47,5,3,0,3085.0,1910,1175.0,0.921,1531,0.667,35
86,0,0,53,2,35,4,2,1,19040.0,2056,16984.0,0.607,1212,0.722,31
87,2,0,43,3,35,5,2,3,4026.0,0,4026.0,0.483,1237,0.6,32
88,1,0,44,3,31,4,3,1,12756.0,837,11919.0,1.932,1413,1.8,14
89,1,0,57,2,45,5,3,3,5266.0,0,5266.0,1.702,1516,1.636,29
90,1,0,51,2,36,3,2,2,9930.0,0,9930.0,0.731,1276,1.333,21
91,0,0,49,4,38,4,3,0,31302.0,1953,29349.0,0.875,1564,2.182,35
92,2,0,45,1,36,4,4,3,6576.0,0,6576.0,0.579,1465,0.619,34
93,1,0,53,0,42,5,4,1,2664.0,2037,627.0,0.85,1286,0.933,29
94,1,0,45,3,28,5,1,2,2535.0,2440,95.0,1.705,1312,1.222,20
95,2,0,64,1,52,6,4,3,1709.0,895,814.0,1.656,1673,0.882,32
96,2,0,45,3,35,5,4,2,3454.0,1200,2254.0,0.597,1313,0.304,30
97,2,0,53,3,35,5,3,2,3789.0,1706,2083.0,1.047,1609,0.68,42
98,1,0,56,3,50,3,2,0,9689.0,2250,7439.0,0.576,1158,0.727,19
99,2,1,47,2,37,2,3,3,5449.0,1628,3821.0,0.696,836,0.385,18
100,0,0,49,3,43,4,4,0,23032.0,1960,21072.0,0.619,1289,1.0,22
101,0,0,41,3,34,5,3,3,34516.0,2053,32463.0,1.034,1487,0.733,26
102,2,0,53,3,34,6,2,2,2940.0,1264,1676.0,0.562,1259,0.5,33
103,1,0,44,2,32,3,3,3,3031.0,1879,1152.0,0.788,1298,1.5,15
104,1,0,44,3,25,3,3,0,1862.0,0,1862.0,0.883,1226,0.789,34
105,2,0,43,4,33,2,3,3,8358.0,926,7432.0,0.762,1566,0.542,37
106,0,0,53,2,36,6,1,2,34516.0,931,33585.0,0.828,1022,1.1,21
107,2,0,44,1,36,5,2,3,14450.0,2440,12010.0,1.283,1235,0.667,30
108,1,0,62,1,56,6,0,0,1438.3,0,1438.3,0.813,1951,1.095,44
109,0,0,54,4,36,6,3,2,33791.0,1960,31831.0,0.618,1047,0.824,31
110,2,0,57,4,39,4,3,0,8466.0,1886,6580.0,0.56,1342,0.391,32
111,1,0,42,3,36,5,3,3,15088.0,865,14223.0,0.939,1107,1.625,21
112,2,0,42,4,36,5,1,2,3263.0,1674,1589.0,0.588,1251,0.346,35
113,1,0,54,0,36,2,2,2,1494.0,706,788.0,1.674,1305,3.0,24
114,1,0,48,3,35,6,1,0,13551.0,1294,12257.0,0.791,1388,1.056,37
115,0,0,49,1,36,6,2,2,18886.0,895,17991.0,1.826,1235,1.571,18
116,1,0,52,3,48,3,2,0,11976.0,1273,10703.0,1.024,2089,1.118,36
117,2,0,50,3,39,4,1,4,9964.0,1559,8405.0,1.873,1626,0.786,25
118,0,0,49,1,36,4,6,3,24159.0,1196,22963.0,0.712,1111,1.0,24
119,1,0,53,2,44,3,2,3,5362.0,1901,3461.0,0.816,1553,1.0,38
120,0,0,50,2,36,3,2,2,34516.0,1023,33493.0,1.004,1064,0.625,13
121,1,0,55,1,36,4,1,0,3174.0,1951,1223.0,0.766,1243,0.611,29
122,1,0,53,1,47,3,2,2,12262.0,1836,10426.0,1.584,1659,1.533,38
123,2,0,47,3,41,4,3,3,3788.0,1540,2248.0,0.566,1594,0.382,47
124,0,0,55,2,42,2,3,2,34516.0,1527,32989.0,0.526,1268,0.355,42
125,2,0,47,3,36,4,2,2,2926.0,0,2926.0,0.676,1304,0.846,24
126,0,0,58,4,52,6,1,0,32090.0,0,32090.0,0.567,1368,0.364,30
127,2,1,53,2,41,3,3,2,11669.0,2227,9442.0,0.622,720,0.353,23
128,1,0,52,2,45,3,1,2,13532.0,1300,12232.0,0.846,1521,1.417,29
129,2,0,50,1,36,4,2,2,11888.0,2090,9798.0,0.7,1137,0.765,30
130,2,0,42,1,36,5,1,2,2393.0,1985,408.0,0.788,978,0.778,16
131,1,0,43,4,39,5,1,2,6111.0,2517,3594.0,0.632,1221,2.2,16
132,0,0,57,4,46,3,2,3,19270.0,1662,17608.0,1.186,1565,1.545,28
133,2,0,52,1,43,3,1,4,3710.0,2517,1193.0,1.541,1578,0.7,34
134,2,0,47,2,37,2,1,3,3235.0,797,2438.0,0.541,1493,1.0,32
135,1,0,44,3,38,3,1,0,11749.0,788,10961.0,0.688,1178,0.929,27
136,2,0,53,2,36,5,3,2,7753.0,2100,5653.0,0.839,991,0.733,26
137,1,0,45,4,40,5,1,0,10408.0,1186,9222.0,1.689,2560,1.211,42
138,1,0,63,1,36,6,2,3,3967.0,1568,2399.0,1.236,1657,1.231,29
139,2,0,39,2,27,4,2,2,6205.0,2517,3688.0,0.939,1204,0.727,19
140,2,1,48,5,38,1,3,3,8025.0,0,8025.0,0.654,673,0.8,18
141,2,0,51,1,42,6,2,3,9036.0,2327,6709.0,0.649,1131,0.636,18
142,1,0,54,4,34,2,3,2,14926.0,2517,12409.0,1.996,1576,1.5,25
143,2,0,59,1,36,3,2,3,6335.0,1128,5207.0,0.397,1217,0.667,20
144,2,1,59,1,53,2,3,3,14979.0,0,14979.0,0.71,530,1.0,10
145,2,1,48,4,38,3,2,3,2732.0,0,2732.0,0.76,739,0.455,16
146,1,0,41,2,32,6,3,2,2250.0,2117,133.0,1.162,1617,2.875,31
147,1,0,55,2,50,3,2,0,10916.0,1536,9380.0,1.317,1592,1.0,34
148,1,0,47,4,36,4,1,3,5349.0,1228,4121.0,0.728,1343,1.308,30
149,2,0,41,2,24,4,1,3,9366.0,1104,8262.0,0.572,1303,0.625,39
150,0,0,40,3,28,5,1,0,21617.0,0,21617.0,1.047,1351,0.467,22
151,1,0,68,1,56,5,2,3,13860.0,1652,12208.0,1.255,1910,1.909,32
152,2,0,50,1,31,2,2,3,18386.0,0,18386.0,0.868,1298,0.571,22
153,1,0,47,4,41,6,2,2,2405.0,1540,865.0,0.469,1087,1.231,29
154,1,0,53,1,47,4,2,3,2154.0,930,1224.0,2.121,1439,1.364,26
155,2,0,42,5,36,3,3,3,2038.0,0,2038.0,0.786,1238,0.75,28
156,2,0,48,4,38,6,1,3,8135.0,0,8135.0,1.373,1716,0.812,29
157,2,0,49,1,38,6,1,3,9364.0,618,8746.0,0.554,1099,0.8,27
158,0,0,44,2,35,4,3,2,32643.0,0,32643.0,1.3,1058,2.429,24
159,1,0,43,4,34,2,3,1,3195.0,1954,1241.0,0.971,1285,0.706,29
160,1,0,56,0,43,5,2,1,2852.0,1024,1828.0,1.009,1651,1.0,28
161,2,0,59,1,36,2,3,3,4224.0,1305,2919.0,0.852,1152,0.824,31
162,1,0,46,1,36,3,2,2,20459.0,2071,18388.0,1.248,1767,2.167,38
163,2,0,47,4,41,6,5,3,3482.0,2114,1368.0,0.508,1039,0.263,24
164,1,0,50,4,40,5,2,3,3065.0,1570,1495.0,1.077,1130,1.333,28
165,2,0,51,3,43,3,1,2,2185.0,1761,424.0,0.682,1645,0.429,30
166,1,0,47,3,36,4,1,0,1611.0,746,865.0,0.993,1413,0.706,29
167,1,0,58,4,47,3,3,3,2822.0,2173,649.0,1.456,1218,2.286,23
168,0,1,46,5,33,6,3,3,32975.0,2517,30458.0,0.658,597,0.7,17
169,1,0,53,3,47,5,2,2,1438.3,0,1438.3,0.776,2184,0.828,53
170,1,0,45,4,36,4,3,3,15875.0,1719,14156.0,0.86,1592,1.467,37
171,2,0,52,1,45,6,3,3,6703.0,893,5810.0,0.567,1388,0.75,28
172,2,1,53,2,36,2,2,1,3212.0,0,3212.0,0.713,757,0.25,20
173,0,0,50,2,45,3,1,3,34516.0,1260,33256.0,0.588,1504,0.789,34
174,2,0,41,3,36,4,1,2,9797.0,1434,8363.0,0.644,1503,0.478,34
175,2,0,45,5,36,5,2,2,10400.0,1777,8623.0,0.791,1105,0.867,28
176,0,0,53,3,42,2,1,2,26792.0,1836,24956.0,1.432,2398,0.88,47
177,1,0,67,1,56,4,3,2,3006.0,2517,489.0,2.053,1661,1.0,32
178,1,0,57,2,36,6,3,0,19482.0,1072,18410.0,0.706,1421,1.444,22
179,2,0,59,1,36,4,2,3,3356.0,985,2371.0,0.35,999,0.556,28
180,1,0,45,2,34,3,2,1,5771.0,2248,3523.0,1.791,1387,0.8,18
181,2,0,51,3,36,6,2,3,11106.0,2107,8999.0,0.948,1243,1.0,24
182,1,0,59,1,54,5,3,0,2890.0,2001,889.0,1.334,1860,1.0,36
183,1,0,53,1,45,6,2,2,3380.0,1701,1679.0,0.747,1502,1.273,25
184,0,0,47,3,36,2,1,2,21331.0,1251,20080.0,0.949,1460,1.083,50
185,2,0,49,3,38,6,2,1,12860.0,0,12860.0,0.646,1348,0.286,27
186,1,0,49,3,33,3,1,0,6278.0,462,5816.0,1.161,1087,0.941,33
187,2,0,60,0,55,5,1,3,1438.3,738,700.3,0.782,1226,0.571,33
188,1,0,50,2,36,5,1,2,9355.0,1626,7729.0,0.701,1230,0.867,28
189,0,0,41,2,31,6,1,3,20758.0,0,20758.0,0.688,1555,0.684,32
190,1,0,57,1,47,5,3,1,14612.0,1976,12636.0,1.768,1827,3.0,24
191,0,0,43,4,27,5,2,0,27259.0,0,27259.0,0.731,1376,0.591,35
192,2,0,57,3,47,4,2,3,6347.0,1594,4753.0,0.896,1771,0.762,37
193,0,0,54,3,41,3,3,0,21592.0,1676,19916.0,1.097,1873,0.529,52
194,1,0,51,5,44,5,1,1,3449.0,1598,1851.0,0.971,1679,0.556,42
195,2,0,47,3,34,2,1,2,6028.0,799,5229.0,0.819,1002,0.571,22
196,0,0,41,0,36,3,2,3,18214.0,1998,16216.0,0.829,1344,1.1,21
197,0,0,53,3,43,3,3,1,16393.0,1423,14970.0,1.642,1461,0.75,42
198,2,1,68,0,52,1,3,2,1438.3,900,538.3,0.743,760,0.615,21
199,1,0,59,1,36,4,1,2,7871.0,1687,6184.0,1.242,1428,1.444,22
200,1,0,48,4,36,5,3,0,5288.0,866,4422.0,0.869,1777,0.75,42
201,2,0,44,5,32,4,5,3,11376.0,2006,9370.0,0.619,1302,0.8,27
202,2,0,48,3,41,4,5,3,12302.0,1632,10670.0,1.509,1483,0.519,41
203,0,0,47,4,33,3,2,1,34516.0,1679,32837.0,0.623,1060,0.5,27
204,0,0,47,2,32,4,2,2,34516.0,1468,33048.0,0.505,1330,0.684,32
205,2,0,43,1,35,3,2,2,10514.0,1580,8934.0,0.504,1229,0.8,27
206,2,1,55,2,43,2,4,3,1438.3,0,1438.3,0.707,886,0.421,27
207,2,1,59,2,46,3,3,3,1438.3,0,1438.3,0.688,844,0.5,24
208,1,0,63,1,56,2,1,2,2619.0,1779,840.0,1.259,1450,0.947,37
209,0,0,58,2,53,2,3,0,24407.0,2395,22012.0,1.071,2311,0.714,48
210,1,0,53,2,36,4,1,2,2377.0,1649,728.0,0.93,1378,1.167,26
211,0,0,59,0,40,3,2,3,34516.0,1359,33157.0,1.327,1033,1.364,26
212,1,0,52,3,47,5,3,3,11086.0,2207,8879.0,0.869,1523,1.105,40
213,1,0,48,3,36,4,2,2,11432.0,2517,8915.0,0.615,1374,0.762,37
214,1,0,43,4,36,5,3,2,13258.0,1721,11537.0,0.908,1080,1.333,21
215,2,0,48,2,36,3,2,3,2571.0,1955,616.0,0.531,1234,0.714,24
216,1,0,43,4,31,5,2,0,5781.0,1168,4613.0,0.638,1600,0.455,32
217,1,0,44,4,30,5,1,2,7872.0,2509,5363.0,0.971,1155,0.882,32
218,0,0,41,3,35,6,1,2,34516.0,1202,33314.0,0.603,1353,0.737,33
219,1,0,44,3,38,4,1,3,11127.0,1835,9292.0,2.368,1546,1.273,25
220,1,0,50,2,43,2,1,3,1857.0,1603,254.0,0.579,1590,1.263,43
221,1,0,60,1,36,5,1,0,1913.0,1272,641.0,1.008,1448,1.0,22
222,1,0,44,4,24,5,3,0,3839.0,2295,1544.0,0.569,1271,0.714,24
223,2,0,48,3,39,6,2,3,2115.0,1141,974.0,0.616,1223,0.538,20
224,1,0,44,2,27,5,2,2,1438.3,679,759.3,0.859,1117,1.071,29
225,0,0,41,2,28,4,3,0,27756.0,1789,25967.0,0.75,994,0.846,24
226,2,0,45,3,32,4,1,2,1438.3,0,1438.3,0.81,1468,0.625,26
227,2,0,47,2,34,6,4,2,13878.0,2222,11656.0,0.853,1658,0.357,38
228,2,0,51,2,36,3,1,3,3106.0,1304,1802.0,0.604,1368,0.407,38
229,0,0,51,2,44,4,3,3,34516.0,1666,32850.0,0.613,1218,0.8,18
230,2,1,60,1,50,4,4,3,1438.3,1025,413.3,0.838,702,0.714,12
231,1,0,57,2,46,2,3,0,18871.0,1740,17131.0,1.727,1516,2.0,21
232,1,0,41,5,29,5,2,2,5207.0,1748,3459.0,1.073,1310,1.0,26
233,0,0,44,3,36,6,2,2,17965.0,1644,16321.0,0.921,1767,0.923,50
234,2,0,43,1,37,6,3,3,2733.0,1819,914.0,0.767,933,0.923,25
235,1,0,55,2,48,4,3,2,8863.0,1301,7562.0,1.207,1512,1.455,27
236,2,1,52,1,36,2,3,3,1857.0,1833,24.0,0.723,829,0.7,17
237,0,0,44,3,33,3,3,3,34516.0,0,34516.0,0.483,1120,0.35,27
238,2,0,41,2,30,5,3,3,11107.0,1222,9885.0,0.538,1506,0.941,33
239,1,0,44,4,34,4,1,2,21573.0,1585,19988.0,0.621,1384,2.273,36
240,2,1,53,2,33,2,3,3,2859.0,2517,342.0,0.993,817,0.667,30
241,2,0,39,2,36,4,2,2,5269.0,1475,3794.0,1.148,2094,0.667,25
242,2,1,49,5,45,2,2,3,1438.3,0,1438.3,0.734,815,0.615,21
243,2,1,45,2,36,1,3,2,3387.0,0,3387.0,0.789,510,0.6,24
244,2,0,54,2,46,6,2,3,1982.0,1289,693.0,0.939,1377,0.69,49
245,2,0,49,3,43,2,2,2,4645.0,1650,2995.0,0.912,1193,0.65,33
246,2,0,46,3,36,6,3,2,2189.0,1666,523.0,0.343,1287,0.636,36
247,2,1,46,4,30,3,3,3,2442.0,0,2442.0,0.98,701,0.727,19
248,0,0,47,3,38,4,1,2,21304.0,1532,19772.0,1.018,1770,0.923,25
249,2,0,44,2,36,5,1,2,7577.0,2480,5097.0,0.435,1409,0.167,35
250,2,0,50,3,31,4,1,2,3234.0,1486,1748.0,0.868,1354,0.647,28
251,1,0,73,0,36,5,3,2,4469.0,1125,3344.0,1.363,1765,1.615,34
252,2,0,56,3,46,6,3,4,2910.0,709,2201.0,0.538,1192,0.588,27
253,2,1,59,0,48,2,4,3,3616.0,1054,2562.0,0.616,687,0.545,17
254,2,0,70,0,56,3,2,3,3252.0,1495,1757.0,0.581,1227,0.875,15
255,1,0,55,2,36,4,3,3,2358.0,1152,1206.0,0.969,1737,1.6,26
256,0,0,43,4,36,4,1,0,22322.0,953,21369.0,0.769,1348,1.125,34
257,2,0,45,1,39,4,2,2,3133.0,1510,1623.0,0.609,1435,0.462,38
258,1,0,45,2,35,2,3,0,3540.0,849,2691.0,0.456,1321,0.75,28
259,2,0,40,1,23,6,3,2,6990.0,1378,5612.0,0.73,1479,0.611,29
260,0,0,36,2,22,2,2,3,34516.0,1652,32864.0,0.854,1283,1.294,39
261,2,1,59,0,40,1,4,1,1438.3,0,1438.3,1.038,689,0.353,23
262,0,0,43,4,35,6,3,2,24396.0,1171,23225.0,0.655,965,1.125,17
263,1,0,46,1,36,2,3,2,2474.0,2143,331.0,1.53,1541,1.0,40
264,1,0,41,2,32,5,1,3,5214.0,795,4419.0,0.707,1258,1.3,23
265,2,0,51,2,46,5,2,2,5207.0,1650,3557.0,0.708,1339,0.538,20
266,1,0,51,3,25,2,2,2,9512.0,1082,8430.0,0.701,1007,1.444,22
267,1,0,43,4,23,6,3,2,3187.0,2430,757.0,0.617,1387,1.357,33
268,2,1,64,0,53,1,3,3,3353.0,0,3353.0,1.021,960,0.385,18
269,1,0,54,5,38,3,3,3,2290.0,1434,856.0,0.923,1119,3.5,18
270,2,0,48,3,43,6,1,3,5279.0,1115,4164.0,0.549,1642,0.519,41
271,0,0,40,2,29,5,3,0,23603.0,0,23603.0,0.795,1382,1.067,31
272,2,0,57,0,45,6,2,2,2601.0,0,2601.0,0.814,1232,0.684,32
273,1,0,45,4,40,4,3,0,6363.0,1029,5334.0,0.838,1542,1.286,16
274,2,0,41,3,36,4,3,3,8029.0,1576,6453.0,0.826,1094,0.524,32
275,1,0,42,4,31,2,2,2,2410.0,1769,641.0,0.759,1217,1.143,30
276,2,1,45,2,36,1,1,2,3401.0,0,3401.0,0.898,744,1.0,18
277,1,0,42,4,23,4,2,0,2260.0,1007,1253.0,0.84,1614,0.737,33
278,0,0,47,4,30,5,2,2,17682.0,2481,15201.0,1.302,1747,1.214,31
279,2,0,48,4,42,3,1,3,4206.0,1100,3106.0,0.587,1144,1.0,22
280,0,0,43,1,37,4,3,2,34516.0,1440,33076.0,1.117,1575,2.4,34
281,0,0,41,4,36,4,3,0,23018.0,2168,20850.0,0.859,1463,1.667,24
282,1,0,54,1,44,5,2,3,5556.0,1711,3845.0,1.434,1706,1.625,21
283,2,1,54,2,44,3,3,1,6094.0,0,6094.0,1.129,909,0.273,14
284,1,0,61,0,52,3,1,2,2939.0,1999,940.0,2.145,2434,1.538,33
285,1,0,61,0,48,2,1,0,5362.0,1274,4088.0,1.015,1876,0.783,41
286,0,1,48,2,36,3,3,3,27126.0,0,27126.0,0.953,1000,0.786,25
287,2,0,45,4,36,6,3,2,3342.0,2517,825.0,0.771,1139,0.765,30
288,2,1,54,4,40,6,2,2,2532.0,2221,311.0,0.491,799,0.235,21
289,2,0,54,3,46,2,2,3,1900.0,1376,524.0,0.89,1881,0.607,45
290,2,0,44,3,37,2,3,2,14546.0,1703,12843.0,0.955,1273,0.588,27
291,2,0,50,4,36,2,3,2,2521.0,1608,913.0,0.587,1328,0.571,33
292,0,0,55,2,36,3,4,3,16427.0,1682,14745.0,0.631,1579,1.118,36
293,2,0,48,2,36,5,1,2,13068.0,1718,11350.0,0.607,937,0.556,28
294,1,0,45,2,33,6,3,0,23218.0,1814,21404.0,1.178,1749,2.083,37
295,1,0,60,0,36,5,1,3,3281.0,837,2444.0,1.859,1424,1.417,29
296,1,0,55,2,47,5,3,2,3096.0,2217,879.0,0.799,2011,0.783,41
297,2,0,62,0,52,5,2,3,2052.0,1250,802.0,0.728,1208,0.632,31
298,1,0,38,1,30,2,3,0,1438.3,583,855.3,0.888,1259,1.0,24
299,2,0,46,3,39,2,3,2,9432.0,1418,8014.0,0.612,1319,0.368,26
300,1,0,50,0,45,5,2,3,14938.0,2303,12635.0,0.804,949,2.0,27
301,1,0,45,2,36,5,3,2,2221.0,1343,878.0,0.869,1338,1.308,30
302,2,0,47,3,37,6,3,0,5731.0,1577,4154.0,0.657,1554,0.444,26
303,0,0,48,4,33,2,2,3,34516.0,2061,32455.0,0.722,1350,0.455,32
304,1,0,35,3,22,5,2,2,6985.0,1130,5855.0,0.963,1694,0.76,44
305,0,0,51,2,42,3,3,0,24221.0,1707,22514.0,0.816,1678,0.538,40
306,0,0,36,3,24,4,1,1,15439.0,0,15439.0,0.742,2069,0.536,43
307,0,0,47,4,36,6,3,2,21637.0,2030,19607.0,0.776,1222,0.438,23
308,2,0,52,2,37,2,3,2,14543.0,0,14543.0,0.788,1536,0.423,37
309,1,0,43,4,36,2,1,1,9684.0,2475,7209.0,0.697,1400,2.1,31
310,1,0,63,2,36,2,2,2,5007.0,930,4077.0,0.885,1050,1.154,28
311,1,0,61,0,54,3,2,0,1616.0,1047,569.0,0.984,1389,1.2,33
312,0,0,53,2,40,5,2,2,19116.0,0,19116.0,0.656,1184,0.611,29
313,1,0,53,3,47,5,6,2,2759.0,2223,536.0,1.32,2093,1.0,42
