Customer_Age,Dependent_count,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Has_Dependents,Total_Trans_Amt_log,Total_Revolving_Bal_log,Avg_Open_To_Buy_log,Credit_Limit_log,Total_Amt_Chng_Q4_Q1_log,Total_Ct_Chng_Q4_Q1_log,Gender_M,Education_Level_Doctorate,Education_Level_Graduate,Education_Level_High School,Education_Level_Post-Graduate,Education_Level_Uneducated,Education_Level_Unknown,Marital_Status_Married,Marital_Status_Single,Marital_Status_Unknown,Income_Category_$40K - $60K,Income_Category_$60K - $80K,Income_Category_$80K - $120K,Income_Category_Less than $40K,Income_Category_Unknown,Card_Category_Gold,Card_Category_Platinum,Card_Category_Silver,Tenure_bin_3–4 years,Tenure_bin_4–5 years,Tenure_bin_<2 years,Age_bin_30–39,Age_bin_40–49,Age_bin_50–59,Age_bin_60+
42,5,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,1,7.091742115095153,7.291656209174461,8.572060092857077,8.817149624743406,0.6048622656923737,0.5187937934151676,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
65,1,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,1,7.181591944611865,7.370230641807081,8.923857580099885,9.115590035430372,0.8891250638013856,0.8603550995438518,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
56,1,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,1,7.3395376954076745,0.0,9.371778717853713,9.371778717853713,1.480922490198673,1.4469189829363254,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
35,3,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,1,7.179307969504034,7.418780882750794,8.836664586357426,9.053452616439039,0.7714961469709217,1.0986122886681098,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
57,2,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,1,7.359467638255621,6.523562306149512,7.471363088187097,7.798523053625206,0.7839015438284094,0.47685510419483734,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False
44,4,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,1,7.207118856207756,6.880384082186005,8.09040229659332,8.351138607086154,0.9958410106321641,0.9932517730102833,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
48,4,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,1,7.421775793644647,7.767687277186908,10.240174051915723,10.321144701409654,0.9962103550500285,0.6570017339235921,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
41,3,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,1,6.9363427358340495,7.163946684342547,9.412872969386267,9.513108081846005,0.5025918188388871,0.965080896043587,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
61,1,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,1,7.198183577101943,7.831220214604293,6.517671272912275,8.069029328774958,1.0406300061297626,0.76220671649144,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
45,2,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,1,7.0967213784947605,7.05444965813294,9.496571392160648,9.579901925737992,0.6760010217249748,0.6465795447436106,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False
47,1,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,1,7.072421900537371,7.496097345175956,9.86162334843743,9.951324881950288,0.6450068052320104,0.6570017339235921,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
62,0,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0,6.541029999189903,0.0,7.271912163268625,7.271912163268625,0.7163753066791524,0.4700036292457355,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
41,3,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,1,6.837332814685591,6.523562306149512,8.240385115516334,8.405367376233981,0.9585836440644065,0.9442949282837524,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
47,4,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,1,7.027314514039777,7.353081920515432,6.838405200847344,7.821242083523558,0.45298462407614076,0.302324349188651,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
54,2,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,1,7.01301578963963,0.0,9.410665553209713,9.410665553209713,0.7299611536826616,0.5596157879354227,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
41,3,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,1,6.9584483932976555,7.4205789054108005,8.716044050161402,8.95789673495042,0.586118607801422,0.6059539688575679,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
59,1,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,1,7.088408778675395,7.226209010100671,9.50383054471094,9.601368432286577,0.6528458837864196,0.832909122935104,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
63,1,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,1,7.552237287560802,6.918695219020472,9.127610724377186,9.231710397712375,0.6113946786876863,0.6931471805599453,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
44,3,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,1,6.959398512133975,0.0,9.220389707829185,9.220389707829185,0.42199441005937494,0.9442949282837524,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
47,4,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,1,6.952728644624869,7.217443431696533,8.138564737261632,8.47345026846832,0.553310235372146,0.6418538861723948,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
53,3,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,1,6.946013991099227,7.502186486602924,6.849066282633458,7.9208096792886,0.6815805441884798,1.2728456686123115,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
53,2,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,1,7.3758821482150125,7.43307534889858,6.635946555686647,7.804659297056102,0.8428594537882721,0.9555114450274363,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
41,4,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,1,7.371489295214277,7.831220214604293,8.765146421639022,9.096499555552423,1.002835333274341,0.9809542451998773,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
53,2,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,1,7.252762418053187,7.307202314764738,7.057036981697891,7.8826922062890254,1.0116009116784799,0.6931471805599453,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
58,0,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0,7.163946684342547,7.436617265234227,9.292841593487926,9.437953917961844,0.4180522236136358,0.538829820175588,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
55,1,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,1,7.249925536717988,7.557472901614746,7.382124365737512,8.166500319155052,0.412109650826833,0.39406706315579504,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
55,3,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,1,7.537962659768208,7.740229524763182,6.6039438246004725,8.01829613851552,1.002101388287266,0.7774883289936961,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
42,4,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,1,6.874198495453294,0.0,9.644328147017548,9.644328147017548,0.6232610530957788,0.7884573603642702,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False
57,1,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,1,7.289610521451167,6.787844982309579,7.932721027481948,8.208764045819667,0.8415671856782186,0.4421184257561999,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
66,0,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,0,6.558197802812269,6.406879986069314,8.892611378172106,8.972463821059907,0.7188149273085231,0.13365638481267358,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
45,3,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,1,7.01211529430638,6.361302477572996,10.368761263333154,10.386746688084312,0.7139297197424739,0.38797979376714486,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
51,2,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,1,7.206377291472252,7.6984827878809465,8.294549515143679,8.733271845008325,0.5894519442211802,0.4421184257561999,True,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
50,1,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,1,7.471363088187097,7.831220214604293,9.601571320056523,9.758750756069444,0.8956797779700307,0.7884573603642702,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False
49,3,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,1,7.471363088187097,0.0,8.27052509505507,8.27052509505507,0.7948008342864451,0.6931471805599453,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
38,4,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,1,6.949856455000773,7.628517626575055,8.958797346140274,9.193295937366925,0.6815805441884798,0.6507614640635074,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
49,4,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,1,7.275864600546533,0.0,10.44920723527944,10.44920723527944,0.9635559243412692,0.8471549930392929,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
56,2,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,1,7.462789157412448,7.266128779556451,6.74993119378857,7.7336835707759,1.1987592372730485,0.46247536282494395,True,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
59,1,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,1,7.450079569807499,7.611347717403621,6.270988431858299,7.8434564043761155,1.211047717997898,0.9932517730102833,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
46,3,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,1,7.1049654482698426,7.269616749608169,9.79945948211208,9.876064966958156,0.5805382361772911,0.5877866649021191,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
52,1,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,1,7.039660349862076,7.113142108707088,8.165932137321585,8.465057436995709,0.4848922417394862,0.4700036292457355,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
52,3,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,1,7.538494999413465,7.346010209913293,6.97914527506881,7.872073979866873,0.8419981272923,0.76220671649144,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
54,1,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,1,6.559615237493242,6.695798917058491,6.44778118537358,7.271912163268625,0.6916460544336782,0.6418538861723948,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
66,0,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0,7.5740450053721995,7.687080155783135,6.900730664045173,8.06211758275474,0.7993073763883359,1.0726104861291088,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
49,2,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,1,7.254884810077338,7.831220214604293,9.7553934942914,9.891617379965641,0.5092243423990168,0.22314355131420976,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
56,2,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,1,6.401917196727186,0.0,9.665864679957084,9.665864679957084,0.7134398838277077,0.31042155942127037,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
49,4,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,1,6.959398512133975,7.696667081526462,7.002155954403621,8.101374671228582,0.5176026080450145,0.4700036292457355,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
49,3,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,1,7.16703787691222,7.768110378525988,6.0867747269123065,7.938445551164788,0.5596157879354227,0.4700036292457355,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
56,2,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,1,7.261927092702751,7.53955882930103,7.8551570058813445,8.402679804627477,0.7452651348220519,0.882527101721346,True,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
44,5,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,1,7.215239978730097,6.88653164253051,8.574707097616844,8.744169388750624,1.1863178690872151,0.733809162278835,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
42,2,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,1,7.063903961472068,7.469654172932128,7.367708572374371,8.112827478751374,0.5247285289349821,0.8109302162163288,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
55,3,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,1,7.001245622069476,7.6093665379542115,7.259116128097101,8.142354276849835,0.6423800635062922,0.6059539688575679,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
48,2,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,1,6.539585955617669,0.0,10.44920723527944,10.44920723527944,0.5670169034157332,0.4054651081081644,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
39,1,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,1,7.183111701743281,7.132497551660044,8.450198322591959,8.687273461787838,0.6647477060382473,0.7673265787341967,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False
44,4,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,1,7.152268856032539,7.6511201757027,9.992230762370516,10.084057576291276,0.6916460544336782,0.5498540107334691,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
53,2,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,1,7.162397497355718,7.399398083331354,9.48044384215367,9.597980895171796,0.6876319998718351,0.6507614640635074,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
51,4,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,1,7.165493475060845,7.323830566202317,10.40432344467275,10.44920723527944,0.46499108742219125,0.4700036292457355,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False
57,2,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,1,7.21081845347222,7.505492274737424,8.469682208745185,8.792549614177382,0.4824261492442927,0.511025603768657,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
44,2,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,1,7.0326242610280065,7.292337176173877,6.424869023905388,7.642524134232902,0.6951451832226183,0.4421184257561999,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False
49,2,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,1,7.421177528595393,7.010311867307229,6.364750756851911,7.431299675155903,0.9987919533858988,1.2237754316221157,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
50,2,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,1,6.731018100482083,7.193685818395112,10.08460004537341,10.138599199626192,0.7285143243972366,1.0986122886681098,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
51,4,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,1,7.346655163176539,7.475339236566737,10.396780371009813,10.44920723527944,0.8180161626058146,0.7178397931503169,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
55,2,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,1,7.340186835320115,6.942156705699469,7.075808863978387,7.7039102096163115,0.5641767992629853,0.25153662581542763,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
54,1,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,1,7.136483208590247,7.616283561580385,6.78105762593618,7.976251943745623,0.5704144151776482,0.33647223662121295,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
42,5,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,1,7.240649694255466,7.332369205929062,9.970491781316602,10.03950335645357,0.346422567474381,0.4200252594394941,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
44,1,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,1,7.201916317531627,7.566828479208331,10.01596766362013,10.098766465702033,0.838112950810131,0.7802418874108791,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
53,2,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,1,7.162397497355718,7.323830566202317,8.231642179973411,8.57035473953047,0.6189622823705687,0.3611648492115844,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False
44,4,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,1,7.014814351275545,7.831220214604293,8.40827078419205,8.853808274977197,0.3886579897917831,1.0560526742493137,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
37,3,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,1,7.757906208351747,7.496652438168283,8.563695025067657,8.85922139360813,0.5601870533037148,0.6760010217249748,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False
49,3,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,1,7.292337176173877,7.508787170634276,6.570882962339584,7.838737559599282,0.5323914016805512,0.302324349188651,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
47,2,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,1,7.19668657083435,7.549609165154532,10.203814342520987,10.271769869516577,0.6151856390902335,0.33647223662121295,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False
47,3,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,1,7.284820912568604,7.4360278163518485,8.835355971121606,9.055789612127585,0.8073683246499682,0.8804562788649389,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False
44,1,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,1,7.38025578842646,7.335633981927201,10.403777874386735,10.44920723527944,0.6544063522435147,0.42264993286226527,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False
55,4,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,1,6.423246963533519,0.0,7.677400430514807,7.677400430514807,0.46058440732924394,0.538829820175588,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False
59,1,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,1,6.974478911025045,7.257002707092073,9.073030421011577,9.223651386035854,0.32425505268262117,0.597736995755287,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
53,1,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,1,7.372118028337787,7.106606137727303,10.413252614104797,10.44920723527944,0.7556523859113424,1.0986122886681098,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False
52,2,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,1,7.3343293503005365,7.555381944240273,7.069874128458572,8.034631032923107,0.6528458837864196,0.511025603768657,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False
53,2,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,1,7.10085190894405,7.6290038896529575,9.740085880594684,9.85434982797458,0.47436908675537554,0.543486406005539,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
43,3,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,1,7.121252453244542,0.0,8.300776960851454,8.300776960851454,0.39406706315579504,0.4700036292457355,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
44,3,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,1,7.254177846456518,6.731018100482083,9.385972940619341,9.45383541953829,1.075684784024405,1.0296194171811583,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
57,2,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,1,7.324489979348532,0.0,8.569216219483389,8.569216219483389,0.9939922395380071,0.9692626166402607,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
